Date,Open,High,Low,Close,Volume
2026-07-15,387.8,397.79,386.4,394.58,11243765
2026-07-14,382.82,388.19,378.65,384.93,26912258
2026-07-13,387.75,393.65,384.15,390.99,28914900
2026-07-10,387.8,391.91,381.5,385.1,24644600
2026-07-09,374.45,384.65,373.35,384.36,31083200
2026-07-08,384.03,385.31,381.33,383.34,25908300
2026-07-07,392.49,395.57,388.22,388.84,29297500
2026-07-06,387.04,389.15,381.22,386.74,34224500
2026-07-02,384.48,392.2,383.7,390.49,42128900
2026-07-01,380.83,388.83,374.89,384.28,48065800
2026-06-30,371.03,374.15,367.45,373.02,44945700
2026-06-29,377.5,380.5,359.9,368.57,51229900
